AccountId,RecordTypeId,Name,StageName,CloseDate,Activity__c,Offer__c,CurrencyIsoCode,ChannelType__c
001IV000015RewGYAS,012IV000001jKlBYAU,HANSGROHE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8iqYAC,012IV000001jKlBYAU,ORECO - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHTYA4,012IV000001jKlBYAU,EURALIS GASTRONOMIE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDlYAK,012IV000001jKlBYAU,PUMA FRANCE SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eQYAS,012IV000001jKlBYAU,CHABANNE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8j5YAC,012IV000001jKlBYAU,ETS ROLOT ET LEMASSON - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50HYAS,012IV000001jKlBYAU,GEORGES MONIN - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8ijYAC,012IV000001jKlBYAU,PILEJE SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTOYA0,012IV000001jKlBYAU,COFIGEO sas - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50MYAS,012IV000001jKlBYAU,LAFUMA MOBILIER (CALIDA GROUP) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAGoYAO,012IV000001jKlBYAU,ELECTRICFIL AUTOMOTIVE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S6a5YAC,012IV000001jKlBYAU,CHARENTAISE DE DECOR - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyL3YAK,012IV000001jKlBYAU,SODIS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50FYAS,012IV000001jKlBYAU,CHEVRON ORONITE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85mYAC,012IV000001jKlBYAU,CAILLAU - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2SWYA0,012IV000001jKlBYAU,AVRIL GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHPYA4,012IV000001jKlBYAU,LAGRANGE PRODUCTION - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50GYAS,012IV000001jKlBYAU,MERITOR INDUSTRIAL PRODUCTS SAINT-ETIENNE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50AYAS,012IV000001jKlBYAU,PRADINES - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S866YAC,012IV000001jKlBYAU,POSSON PACKAGING - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHyYAO,012IV000001jKlBYAU,CORTEVA (EX: DUPONT DE NEMOURS) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
