"sf__Id","sf__Created",ChargeMap__c,Product__c,Name,LineDescription__c,BillingSchedule__c,Term__c,Quantity__c,Sales_unit_price__c,Amount__c,Status__c,StartDateRevRec__c,End_date__c,CurrencyIsoCode,PO_Required__c,Activated__c
"a01ci00000UvFaDAAV","true","a02ci00000Mob8yAAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","6500.0","6500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaEAAV","true","a02ci00000Mob8zAAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaFAAV","true","a02ci00000Mob90AAB","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaGAAV","true","a02ci00000Mob91AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","1500.0","1500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaHAAV","true","a02ci00000Mob92AAB","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaIAAV","true","a02ci00000Mob93AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaJAAV","true","a02ci00000Mob94AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","2500.0","2500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaKAAV","true","a02ci00000Mob95AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaLAAV","true","a02ci00000Mob96AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaMAAV","true","a02ci00000Mob97AAB","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaNAAV","true","a02ci00000Mob98AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaOAAV","true","a02ci00000Mob99AAB","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","7000.0","7000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaPAAV","true","a02ci00000Mob9AAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaQAAV","true","a02ci00000Mob9BAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaRAAV","true","a02ci00000Mob9CAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFaSAAV","true","a02ci00000Mob9DAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
