Id,NetsuiteId__c,Status__c
a04IV00000rHNRiYAO,20308,Paid In Full
a04IV00000rHNRjYAO,20311,Paid In Full
a04IV00000rHNRkYAO,20318,Paid In Full
a04IV00000rHNRlYAO,20322,Paid In Full
a04IV00000rHNROYA4,20324,Paid In Full
a04IV00000rHNPuYAO,20327,Paid In Full
a04IV00000rHNRmYAO,20330,Paid In Full
a04IV00000rHNRnYAO,20333,Paid In Full
a04IV00000rHNRoYAO,20335,Paid In Full
a04IV00000rHNRJYA4,20345,Paid In Full
a04IV00000rHNRpYAO,20356,Paid In Full
a04IV00000rHNRqYAO,20358,Paid In Full
a04IV00000rHNRrYAO,20360,Paid In Full
a04IV00000rHNRHYA4,20366,Paid In Full
a04IV00000rHNRsYAO,20372,Paid In Full
a04IV00000rHNRtYAO,20376,Paid In Full
a04IV00000rHNRuYAO,20380,Paid In Full
a04IV00000rHNRwYAO,20382,Paid In Full
a04IV00000rHNRxYAO,20390,Paid In Full
a04IV00000rHNRyYAO,20393,Paid In Full
a04IV00000rHNRzYAO,20397,Paid In Full
a04IV00000rHNR4YAO,20403,Paid In Full
a04IV00000rHNS0YAO,20406,Paid In Full
a04IV00000rHNS1YAO,20414,Paid In Full
a04IV00000rHNS2YAO,20418,Paid In Full
a04IV00000rHNS3YAO,20427,Paid In Full
a04IV00000rHNS4YAO,20431,Paid In Full
a04IV00000rHNS5YAO,20435,Paid In Full
a04IV00000rHNQrYAO,20443,Paid In Full
a04IV00000rHNPlYAO,20446,Paid In Full
a04IV00000rHNS6YAO,20453,Paid In Full
a04IV00000rHNS7YAO,20466,Paid In Full
a04IV00000rHNPsYAO,20469,Paid In Full
a04IV00000rHNS8YAO,20473,Paid In Full
a04IV00000rHNRMYA4,20478,Paid In Full
a04IV00000rHNS9YAO,20488,Paid In Full
a04IV00000rHNSAYA4,20503,Paid In Full
a04IV00000rHNSBYA4,20517,Paid In Full
a04IV00000rHNSCYA4,20535,Paid In Full
a04IV00000rHNSDYA4,20538,Paid In Full
a04IV00000rHNSEYA4,20544,Paid In Full
a04IV00000rHNSFYA4,20547,Paid In Full
a04IV00000rHNSGYA4,20550,Paid In Full
a04IV00000rHNRNYA4,20552,Paid In Full
a04IV00000rHNSHYA4,20559,Paid In Full
a04IV00000rHNSIYA4,20566,Paid In Full
a04IV00000rHNSJYA4,20569,Paid In Full
a04IV00000rHNRgYAO,20581,Paid In Full
a04IV00000rHNSKYA4,20593,Paid In Full
a04IV00000rHNSLYA4,20599,Paid In Full
a04IV00000rHNSMYA4,20602,Paid In Full
a04IV00000rHNSNYA4,20606,Paid In Full
a04IV00000rHNSOYA4,20610,Paid In Full
a04IV00000rHNSPYA4,20613,Paid In Full
a04IV00000rHNSQYA4,20615,Paid In Full
a04IV00000rHNSRYA4,20619,Paid In Full
a04IV00000rHNSSYA4,20632,Paid In Full
a04IV00000rHNSeYAO,20635,Paid In Full
a04IV00000rHNQpYAO,20637,Paid In Full
a04IV00000rHNSfYAO,20640,Paid In Full
a04IV00000rHNShYAO,20644,Paid In Full
a04IV00000rHNSjYAO,20648,Paid In Full
a04IV00000rHNSlYAO,20651,Paid In Full
a04IV00000rHNSbYAO,20675,Paid In Full
a04IV00000rHNSdYAO,20679,Paid In Full
a04IV00000rHNSgYAO,20689,Paid In Full
a04IV00000rHNSaYAO,20699,Paid In Full
a04IV00000rHNSmYAO,20706,Paid In Full
a04IV00000rHNSnYAO,20709,Paid In Full
a04IV00000rHNSoYAO,20712,Paid In Full
a04IV00000rHNSZYA4,20716,Paid In Full
a04IV00000rHNSpYAO,20722,Paid In Full
a04IV00000rHNRvYAO,20724,Paid In Full
a04IV00000rHNSUYA4,20731,Paid In Full
a04IV00000rHNSqYAO,20734,Paid In Full
a04IV00000rHNSrYAO,20738,Paid In Full
a04IV00000rHNSsYAO,20740,Paid In Full
a04IV00000rHNStYAO,20746,Paid In Full
a04IV00000rHNSuYAO,20748,Paid In Full
a04IV00000rHNSvYAO,20752,Paid In Full
a04IV00000rHNSwYAO,20763,Paid In Full
a04IV00000rHNSxYAO,20776,Paid In Full
a04IV00000rHNRPYA4,20787,Paid In Full
a04IV00000rHNPrYAO,20791,Paid In Full
a04IV00000rHNT0YAO,20794,Paid In Full
a04IV00000rHNT1YAO,20798,Paid In Full
a04IV00000rHNT2YAO,20815,Paid In Full
a04IV00000rHNSyYAO,20819,Paid In Full
a04IV00000rHNT3YAO,20821,Paid In Full
a04IV00000rHNT4YAO,20825,Paid In Full
a04IV00000rHNT5YAO,20861,Paid In Full
a04IV00000rHNT7YAO,20865,Paid In Full
a04IV00000rHNT8YAO,20869,Paid In Full
a04IV00000rHNScYAO,20875,Paid In Full
a04IV00000rHNQQYA4,20881,Paid In Full
a04IV00000rHNSXYA4,20883,Paid In Full
a04IV00000rHNRQYA4,20896,Paid In Full
a04IV00000rHNRKYA4,20899,Paid In Full
a04IV00000rHNTAYA4,20903,Paid In Full
a04IV00000rHNRLYA4,20906,Paid In Full
a04IV00000rHNRIYA4,20910,Paid In Full
a04IV00000rHNTBYA4,20913,Paid In Full
a04IV00000rHNQfYAO,20916,Paid In Full
a04IV00000rHNSVYA4,20918,Paid In Full
a04IV00000rHNPtYAO,20932,Paid In Full
a04IV00000rHNPpYAO,20946,Paid In Full
a04IV00000rHNTDYA4,20950,Open
a04IV00000rHNSTYA4,20952,Paid In Full
a04IV00000rHNTFYA4,20954,Open
a04IV00000rHNSYYA4,20956,Paid In Full
a04IV00000rHNSzYAO,20958,Paid In Full
a04IV00000rHNRGYA4,20976,Paid In Full
a04IV00000rHNTGYA4,20983,Paid In Full
a04IV00000rHNTHYA4,20988,Paid In Full
a04IV00000rHNSiYAO,20993,Paid In Full
a04IV00000rHNTIYA4,20995,Paid In Full
a04IV00000rHNTJYA4,20997,Paid In Full
a04IV00000rHNTKYA4,20999,Paid In Full
a04IV00000rHNTLYA4,21001,Paid In Full
a04IV00000rHNSkYAO,21004,Paid In Full
a04IV00000rHNT6YAO,21006,Paid In Full
a04IV00000rHNTMYA4,21008,Paid In Full
a04IV00000rHNTNYA4,21018,Paid In Full
a04IV00000rHNTOYA4,21020,Paid In Full
a04IV00000rHNTPYA4,21027,Paid In Full
a04IV00000rHNPmYAO,21032,Paid In Full
a04IV00000rHNSWYA4,21037,Paid In Full
a04IV00000rHNTQYA4,21039,Paid In Full
a04IV00000rHNTRYA4,21048,Paid In Full
a04IV00000rHNTSYA4,21053,Paid In Full
a04IV00000rHNTTYA4,21057,Paid In Full
a04IV00000rHNTEYA4,20456,Paid In Full
a04IV00000rHNTWYA4,21013,Paid In Full
a04IV00000rHNTXYA4,21014,Paid In Full
a04IV00000rHNTYYA4,19879,Paid In Full
a04IV00000rHNTZYA4,20901,Paid In Full
a04IV00000rHNTaYAO,19968,Paid In Full
a04IV00000rHNTbYAO,19969,Paid In Full
a04IV00000rHNTfYAO,20889,Paid In Full
a04IV00000rHNTgYAO,19894,Paid In Full
a04IV00000rHNThYAO,19895,Paid In Full
a04IV00000rHNTiYAO,19896,Open
a04IV00000rHNTjYAO,19897,Paid In Full
a04IV00000rHNTmYAO,20374,Paid In Full
a04IV00000rHNTqYAO,20197,Paid In Full
a04IV00000rHNTtYAO,20854,Paid In Full
a04IV00000rHNTuYAO,20062,Paid In Full
a04IV00000rHNTwYAO,20493,Paid In Full
a04IV00000rHNTyYAO,20628,Paid In Full
a04IV00000rHNU0YAO,20729,Paid In Full
a04IV00000rHNU1YAO,20338,Paid In Full
a04IV00000rHNU5YAO,20784,Paid In Full
a04IV00000rHNU8YAO,20002,Paid In Full
a04IV00000rHNU9YAO,20817,Paid In Full
a04IV00000rHNU3YAO,20683,Paid In Full
a04IV00000rHNUAYA4,19770,Paid In Full
a04IV00000rHNUDYA4,20143,Paid In Full
a04IV00000rHNUEYA4,20631,Paid In Full
