Id,Charge_Map_Item__c
a03ci00000OX00DAAT,a01ci00000Pkf0jAAB
a03ci00000OX01pAAD,a01ci00000PkevLAAR
a03ci00000OX03RAAT,a01ci00000PkewAAAR
a03ci00000OX053AAD,a01ci00000Pkf1lAAB
a03ci00000OX06fAAD,a01ci00000Pkf1dAAB
a03ci00000Oc1gPAAR,a01ci00000Q3dHpAAJ
a03ci00000Oc1gQAAR,a01ci00000Q3dHpAAJ
a03ci00000Oc1i1AAB,a01ci00000Pkf12AAB
a03ci00000Oc1i2AAB,a01ci00000Pkf12AAB
a03ci00000Oc1i3AAB,a01ci00000Pkf12AAB
a03ci00000Oc1jdAAB,a01ci00000PkexVAAR
a03ci00000Oc1jeAAB,a01ci00000PkexVAAR
a03ci00000Oc1lFAAR,a01ci00000PkexSAAR
a03ci00000Oc1lGAAR,a01ci00000PkexSAAR
a03ci00000Oc1lHAAR,a01ci00000Q3urgAAB
a03ci00000Oc1lIAAR,a01ci00000Q3urgAAB
a03ci00000Oc1lJAAR,a01ci00000Q3urgAAB
a03ci00000Oc1mrAAB,a01ci00000Pkf1IAAR
a03ci00000Oc1oTAAR,a01ci00000Pkf0uAAB
a03ci00000Oc1oUAAR,a01ci00000Pkf0uAAB
a03ci00000Oc1q5AAB,a01ci00000Pkf1wAAB
a03ci00000Oc1q6AAB,a01ci00000Pkf1wAAB
a03ci00000Oc1q7AAB,a01ci00000Pkf1wAAB
a03ci00000Oc1rhAAB,a01ci00000PkfjPAAR
a03ci00000Oc1riAAB,a01ci00000PkfjPAAR
a03ci00000Oc1tJAAR,a01ci00000PkewRAAR
a03ci00000Oc1uvAAB,a01ci00000Q3dHdAAJ
a03ci00000Oc1uwAAB,a01ci00000Q3dHdAAJ
a03ci00000OhkkvAAB,a01ci00000PkewtAAB
a03ci00000OhkmXAAR,a01ci00000PkevsAAB
a03ci00000OhkmYAAR,a01ci00000PkevsAAB
a03ci00000OnJyAAAV,a01ci00000PkeyFAAR
a03ci00000OnKvsAAF,a01ci00000PkevXAAR
a03ci00000OnKvtAAF,a01ci00000PkevXAAR
a03ci00000OnP5uAAF,a01ci00000PkexXAAR
a03ci00000OnP97AAF,a01ci00000PkexiAAB
a03ci00000OnPAjAAN,a01ci00000PkexiAAB
a03ci00000OnPAkAAN,a01ci00000Q3dHJAAZ
a03ci00000OnPAlAAN,a01ci00000Q3dHJAAZ
a03ci00000OnPAmAAN,a01ci00000Q3dHJAAZ
a03ci00000OnPCLAA3,a01ci00000Pkf0JAAR
a03ci00000OnPCMAA3,a01ci00000Pkf0JAAR
a03ci00000OnPDxAAN,a01ci00000PkevSAAR
a03ci00000OsnVmAAJ,a01ci00000Pkf0OAAR
a03ci00000OsqgXAAR,a01ci00000PkevVAAR
a03ci00000OsqgYAAR,a01ci00000Q3urfAAB
a03ci00000Osqi9AAB,a01ci00000Pkey3AAB
a03ci00000OsqiAAAR,a01ci00000Pkey3AAB
a03ci00000OsqjlAAB,a01ci00000PkewzAAB
a03ci00000OsqjmAAB,a01ci00000PkewzAAB
a03ci00000OsqjnAAB,a01ci00000PkewzAAB
a03ci00000OsqlNAAR,a01ci00000Pkew7AAB
a03ci00000OsqmzAAB,a01ci00000Pkf1YAAR
a03ci00000Osqn0AAB,a01ci00000Pkf1YAAR
a03ci00000Osqn1AAB,a01ci00000Pkf1YAAR
